"ensembl_gene_id","external_gene_name","entrezgene_id","ERKi_1hr.logFC","ERKi_1hr.AveExpr","ERKi_1hr.t","ERKi_1hr.P.Value","ERKi_1hr.adj.P.Val","ERKi_1hr.B","ERKi_24hr.logFC","ERKi_24hr.AveExpr","ERKi_24hr.t","ERKi_24hr.P.Value","ERKi_24hr.adj.P.Val","ERKi_24hr.B"
"ENSG00000075624","ACTB",60,-0.00213317509417559,29.3560710265233,-0.103013298204814,0.918404230242393,0.999887989390979,-5.71750254294828,0.0670637125553684,29.4189177883796,3.48421086420303,0.00110229012745184,0.00354886693240341,-1.45501395612235
"ENSG00000111640","GAPDH",2597,0.022209330920593,28.8074538110772,0.898694875501191,0.373537444235551,0.999887989390979,-5.35654632128827,-0.00860058044034897,28.8669596170243,-0.429626842823152,0.669491929506396,0.747235990367084,-6.79846773845173
"ENSG00000156508","EEF1A1",1915,-0.0123517873970636,28.5793014282274,-0.533724073374833,0.596125355523221,0.999887989390979,-5.59252109776926,-0.107237962071815,28.5425286624923,-5.1336858666671,5.7242870803015e-06,4.10906562072105e-05,3.59890942570682
"ENSG00000124942","AHNAK",79026,-0.0424101247947075,28.2557925644522,-0.936368677314166,0.354017410725744,0.999887989390979,-5.3255614033181,0.00592870128712443,28.2669832075618,0.183724334694189,0.855044856813977,0.894339197660208,-6.8745708308849
"ENSG00000136068","FLNB",2317,-0.00370381560367867,27.7659244203419,-0.125722026562905,0.900504770093222,0.999887989390979,-5.71512768407336,0.0489825861281456,27.7058652642356,1.3532654769854,0.18264663016629,0.271158286392291,-5.98366370996996
"ENSG00000074800","ENO1",2023,-0.00208510883328034,28.1174274728907,-0.0959242350437967,0.924001178045054,0.999887989390979,-5.71814738310778,0.0207982206411622,28.0956436952974,1.07696706369401,0.287163850823428,0.387072562662343,-6.31239681459373
"ENSG00000178209","PLEC",5339,-0.0119068577528942,27.7415628767147,-0.457780720414137,0.6492844386129,0.999887989390979,-5.6267536887456,-0.00590273567128308,27.7228646110972,-0.20430105495497,0.839028025129363,0.882018006463741,-6.87053574727981
"ENSG00000111057","KRT18",3875,0.0353379355659554,27.7001978994391,0.781211917251734,0.438716007695912,0.999887989390979,-5.44528267291846,-0.0354922184631995,27.710917796117,-0.837586339251662,0.406634911100291,0.510452179975289,-6.53952384559876
"ENSG00000100345","MYH9",4627,0.00662095880819,27.7542725234539,0.328150131091398,0.74430059017743,0.999887989390979,-5.6731705541938,0.18269303672978,27.812439095539,5.7140247146463,7.97660700507123e-07,8.12414567879272e-06,5.52026705151795
"ENSG00000067225","PKM",5315,0.0115397866695446,27.7062696129057,0.402769958714036,0.689000023359563,0.999887989390979,-5.64830739062482,0.00128368916832845,27.7322053718003,0.0557568465922079,0.955779279535105,0.967196915220167,-6.89006517271946
"ENSG00000167553","TUBA1C",84790,-0.0221361619074756,27.7729874329732,-0.797952646109666,0.429034993332931,0.999887989390979,-5.43337216603451,-0.0309836795203918,27.8361724914295,-1.43367472624834,0.158491812348432,0.240870302420561,-5.87499902201714
"ENSG00000188229","TUBB4B",10383,-0.020629138087,27.5934767924059,-0.756115198740878,0.453469651370289,0.999887989390979,-5.46267868917142,-0.0352604620170558,27.6638257808268,-1.64719987185336,0.106397086796953,0.173802958329004,-5.55896849932043
"ENSG00000282844","ACTN4",81,-0.00759799838921382,27.3869910179529,-0.262218955319273,0.794333901457635,0.999887989390979,-5.69093441854506,0.168885936250751,27.3739146761949,5.44158645969917,2.02032496895976e-06,1.76494100410149e-05,4.6131263682996
"ENSG00000080824","HSP90AA1",3320,-0.0133332828017579,27.4456713591343,-0.64628621448902,0.521334379051727,0.999887989390979,-5.53228667501704,-0.0199553843949749,27.5031829921016,-0.931430494040566,0.356539850621678,0.461281338189131,-6.4569904791693
"ENSG00000026025","VIM",7431,0.0100935223987429,23.9860123355234,0.088995539354924,0.92947527383338,0.999887989390979,-5.71873324534733,-0.0703247504199132,24.1613869196034,-0.5706322974259,0.571052378242783,0.662682932337363,-6.72752971067742
"ENSG00000196924","FLNA",2316,0.0466729515648575,26.7511631843096,0.762584110578172,0.449639324091503,0.999887989390979,-5.45824751136662,0.0598346057949764,26.8407860200926,0.984831121385263,0.329907615648115,0.433060827369527,-6.40626537098117
"ENSG00000171345","KRT19",3880,0.0483902363211406,26.5485959399711,0.826843823829191,0.412632478214509,0.999887989390979,-5.41224158433099,0.153392666898322,26.7529109120994,2.67898679179174,0.0102377607231644,0.0239723697591793,-3.52315154066903
"ENSG00000144381","HSPD1",3329,-0.00792558599922837,27.328767866932,-0.287199312194214,0.775261117980159,0.999887989390979,-5.68466889840515,-0.00507991185023629,27.2818779014077,-0.247434959355397,0.80568316147244,0.857526597227494,-6.86069138400524
"ENSG00000184678","H2BC21",8349,0.037598509274357,27.3150104780594,0.804067551666309,0.425531031799732,0.999887989390979,-5.42896054782684,-0.0523968458777441,27.3667335638553,-1.38693789033386,0.172208265617544,0.257904465177354,-5.93885933367928
"ENSG00000102144","PGK1",5230,-0.000695133767548864,27.0767555250206,-0.0251995731317904,0.980005760260318,0.999887989390979,-5.72206479646318,0.107886061829822,27.011237613269,3.98779742358811,0.00023910941574249,0.000965373161476894,-0.00364753720224265
"ENSG00000109971","HSPA8",3312,0.00533030577213895,27.105425879928,0.179554513367917,0.858298006894165,0.999887989390979,-5.70761602541178,-0.130548486665571,27.0768334488735,-5.50005219822098,1.65591676406944e-06,1.47865376051924e-05,4.80712738805971
"ENSG00000111669","TPI1",7167,-0.011169154121897,26.9706459942101,-0.616927609152939,0.540351463375616,0.999887989390979,-5.54908548399758,0.106498505287352,26.9657873127633,4.71498882601277,2.30986158811859e-05,0.000131870693341753,2.24537348627073
"ENSG00000096384","HSP90AB1",3326,0.00195005766610194,26.9586974218552,0.0936902975466957,0.925765732970181,0.999887989390979,-5.71834106935734,-0.128106058680233,26.9726921498664,-5.79892332695981,5.96423380697979e-07,6.37105576252472e-06,5.80440557585237
"ENSG00000108518","PFN1",5216,-0.00511754443126082,26.7989947043532,-0.187646202453222,0.851986703343362,0.999887989390979,-5.7062582166578,-0.0122155213252237,26.8304670291241,-0.478149747786199,0.634829721298424,0.719101379917521,-6.77628982427619
"ENSG00000182718","ANXA2",302,-0.00918977325626658,26.6924702056892,-0.244100809797145,0.808247982988562,0.999887989390979,-5.69512345714825,0.11004146874484,26.7487420607428,2.92966513723837,0.00528551182397323,0.0135267896304682,-2.91788332571701
"ENSG00000167658","EEF2",1938,-0.00490066420868102,26.8237647327508,-0.220829449067994,0.826211281575546,0.999887989390979,-5.70006531701839,-0.179415129791952,26.79227846938,-6.52804980094277,4.85410111203973e-08,7.95196794457948e-07,8.26130014746658
"ENSG00000196262","PPIA",5478,-0.0311973650575957,26.6541558964854,-1.10971219947857,0.272942446695046,0.999887989390979,-5.16739888686778,0.0571807991946884,26.6863702911786,2.62366394134858,0.0117937807657612,0.0270809574484187,-3.65149902416678
"ENSG00000149925","ALDOA",226,0.00774853231837349,26.7634712135998,0.257687086469293,0.797808071283511,0.999887989390979,-5.6920102447075,0.0130642458575177,26.7793357139344,0.458170220783169,0.649007762581791,0.730197897921907,-6.78570618235951
"ENSG00000044574","HSPA5",3309,0.00188007510741059,26.8310866876179,0.0681046890162566,0.9460001289889,0.999887989390979,-5.7202340273457,0.107783753916296,26.8001882011777,4.72005892645035,2.27157501182438e-05,0.000129945661701884,2.26154972580404
"ENSG00000160789","LMNA",4000,-0.0260926830063214,26.6383391279585,-0.775579364640171,0.442002207203126,0.999887989390979,-5.44923494791176,0.138854361069784,26.6252764667895,5.2461517091549,3.91804492095316e-06,3.00139020997696e-05,3.96779235484597
"ENSG00000274474","YWHAE",7531,-0.031304922084387,26.7489810096857,-1.55020927208967,0.128006269057242,0.999887989390979,-4.65418475283105,0.084283020454573,26.7471303276625,4.53569355770751,4.15775968324922e-05,0.000216910017704964,1.6772246128413
"ENSG00000172757","CFL1",1072,-0.026853197446657,26.6096736510374,-1.19976766419593,0.236427701374679,0.999887989390979,-5.07526829860794,0.0909329917678319,26.65615492914,3.99520687175279,0.000233646598106846,0.000946901099165211,0.0184415982875539
"ENSG00000197102","DYNC1H1",1778,-0.0136351079319283,26.5179008695013,-0.847847065388222,0.400952679653751,0.999887989390979,-5.39642393828126,0.099120599339698,26.5304771935473,5.59573632570225,1.19503201953536e-06,1.13454930886922e-05,5.12545550454475
