"","external_gene_name","entrezgene_id","logFC","PValue","FDR"
"ENSG00000101624.10","CEP76",79959,-0.0265970931295712,0.884634493696474,0.925805212551076
"ENSG00000101639.18","CEP192",55125,0.0172176969411913,0.890748485344137,0.929771138033001
"ENSG00000101654.17","RNMT",8731,0.0669396613382573,0.518747978034718,0.637870178569518
"ENSG00000101665.9","SMAD7",4092,0.678848706768805,0.0592736005083238,0.12164421288831
"ENSG00000101670.12","LIPG",9388,-1.62519507519877,0.000106222852486014,0.000927439381336092
"ENSG00000101695.9","RNF125",54941,0.0631544216253171,0.739874229312073,0.818643461431803
"ENSG00000101745.17","ANKRD12",23253,0.406082014821689,0.000418935940353044,0.00263135580836128
"ENSG00000101746.15","NOL4",8715,-0.192633699573643,0.742538394275218,0.820961110099499
"ENSG00000101751.10","POLI",11201,0.467825189785894,0.0427102094093335,0.0940525005553839
"ENSG00000101752.11","MIB1",57534,0.385453453010227,0.00213462543565491,0.00915519954030511
"ENSG00000101773.19","RBBP8",5932,-0.596273542267456,0.00118298482958782,0.00576495142613535
"ENSG00000101782.15","RIOK3",8780,0.322847101533053,0.0136685766658883,0.0387021278017639
"ENSG00000101811.13","CSTF2",1478,-0.495789318545236,0.000327453926821425,0.00218245997593
"ENSG00000101842.13","VSIG1",340547,-1.86804656379004,0.047586629088227,0.102373564628649
"ENSG00000101843.19","PSMD10",5716,0.102992809697306,0.363123974142288,0.489016450603614
"ENSG00000101844.18","ATG4A",115201,0.371237356139798,0.0361479023853541,0.0828150052264589
"ENSG00000101846.6","STS",412,-0.485775189386683,0.00577625861623651,0.019824944750726
"ENSG00000101849.16","TBL1X",6907,0.408672939445284,0.0143135930139096,0.0400797286898809
"ENSG00000101850.13","GPR143",4935,0.30156377223505,0.662907184009508,0.760873242893308
"ENSG00000101856.10","PGRMC1",10857,-0.311741592240699,0.0103746385473895,0.0311758212759266
"ENSG00000101868.10","POLA1",5422,-0.69844667586147,0.00155294814941333,0.00712694924348714
"ENSG00000101871.14","MID1",4281,0.111187080987786,0.769835967803738,0.841205691016591
"ENSG00000101882.10","NKAP",79576,0.155159190853387,0.221405033788502,0.337324404384772
"ENSG00000101888.11","NXT2",55916,0.297860354225812,0.0228431474873275,0.0578706451722014
"ENSG00000101898.6","MCTS2",100101490,-0.893727149632565,0.00279863100521357,0.0112405310504747
"ENSG00000101901.11","ALG13",79868,-0.0240749325917619,0.813743493821133,0.874924477021827
"ENSG00000101911.12","PRPS2",5634,-0.581513979651206,0.000338695009532023,0.00223650415135324
"ENSG00000101928.13","MOSPD1",56180,-0.220745064016353,0.10843320468722,0.19479868464186
"ENSG00000101935.10","AMMECR1",9949,-0.399852777058817,0.00192103493282268,0.00842205552209215
"ENSG00000101940.18","WDR13",64743,0.166816817872472,0.100792632588567,0.184444659136315
"ENSG00000101945.16","SUV39H1",6839,-0.643112834874752,0.00667781176194828,0.0220528422791488
"ENSG00000101955.15","SRPX",8406,-0.394070009701569,0.17975965678685,0.287531674720644
"ENSG00000101966.12","XIAP",331,-0.105770495986609,0.440915264215872,0.566924764398519
"ENSG00000101972.18","STAG2",10735,0.225712754189487,0.0397478938115961,0.0887631122066859
"ENSG00000101974.14","ATP11C",286410,-0.209977903865197,0.155308996660992,0.257153593713323
"ENSG00000101986.12","ABCD1",215,0.752495725334561,0.000186187514188128,0.00142077215685507
"ENSG00000101997.13","CCDC22",28952,-0.112019567300302,0.463432782261719,0.58756354367675
"ENSG00000102003.10","SYP",6855,0.703064697081752,0.00238364147953973,0.00994506278656014
"ENSG00000102007.11","PLP2",5355,-0.744173457322192,0.000288599723114263,0.00199528297778998
"ENSG00000102024.18","PLS3",5358,0.359765424815906,0.0116598356668986,0.0342105701482482
"ENSG00000102030.16","NAA10",8260,-0.697377008840133,9.36399535044941e-07,3.38300734277514e-05
"ENSG00000102032.13","RENBP",5973,1.39229033713015,0.00446106155845406,0.016177660972356
"ENSG00000102034.16","ELF4",2000,-0.378961539229803,0.0305229860396444,0.0725183861896844
"ENSG00000102038.15","SMARCA1",6594,0.798961570244296,6.30133986349308e-06,0.000123583420588099
"ENSG00000102043.16","MTMR8",55613,-0.661349306463261,0.332834543955698,0.457937381991161
"ENSG00000102048.15","ASB9",140462,0.289743095105917,0.173487633420722,0.279796848932615
"ENSG00000102053.12","ZC3H12B",340554,-0.141868203426319,0.666590125425043,0.76388398584959
"ENSG00000102054.17","RBBP7",5931,0.024987491480358,0.820133423262584,0.879391360188585
"ENSG00000102057.10","KCND1",3750,1.27697065779163,0.0042755140382915,0.0156504659375246
"ENSG00000102078.16","SLC25A14",9016,0.0462179093538063,0.759137882019103,0.833623262688
"ENSG00000102081.14","FMR1",2332,0.54467426302417,5.92942830401304e-05,0.000603344341825179
"ENSG00000102096.9","PIM2",11040,-0.210650610224514,0.120662378859698,0.21165103325171
"ENSG00000102098.18","SCML2",10389,-0.568473565763716,0.024907911542528,0.0620438128366236
"ENSG00000102100.16","SLC35A2",7355,0.357592458477853,0.00527435246366261,0.0184314644275628
"ENSG00000102103.16","PQBP1",10084,-0.457018553396771,0.00225944535920692,0.00955970204078888
"ENSG00000102109.9","PCSK1N",27344,0.830509867162937,0.102563333196435,0.186767363318168
"ENSG00000102119.10","EMD",2010,-0.309296328178532,0.00380675965110594,0.0142976655473403
"ENSG00000102125.16","TAFAZZIN",6901,0.0100291734692632,0.942746674581828,0.963862635319037
"ENSG00000102144.15","PGK1",5230,-0.494908705128047,0.00253575618642427,0.0104205807825669
"ENSG00000102158.19","MAGT1",84061,0.130900261153607,0.268152109782047,0.38907022269836
"ENSG00000102172.16","SMS",6611,-0.599472881349884,0.000381713004109204,0.0024520467710491
"ENSG00000102174.9","PHEX",5251,0.793303928975885,0.00664731612173772,0.0219784654346816
"ENSG00000102178.13","UBL4A",8266,-0.693121422057049,1.06571263655245e-06,3.69384817907014e-05
"ENSG00000102181.21","CD99L2",83692,0.0673012705753056,0.55661122051466,0.671199986925628
"ENSG00000102189.16","EEA1",8411,-0.232818157333227,0.0568671079828739,0.117896491456837
"ENSG00000102218.6","RP2",6102,0.547953509732707,0.00239932377802983,0.00999313847451605
"ENSG00000102221.14","JADE3",9767,-0.0960029064237345,0.400090747418979,0.527128061790018
"ENSG00000102225.16","CDK16",5127,-0.297896904197635,0.0135586198040764,0.0384814933009966
"ENSG00000102226.9","USP11",8237,0.251585541629896,0.0166794188065168,0.0450647495773484
"ENSG00000102241.12","HTATSF1",27336,0.20463566866609,0.218480132362547,0.334009136509161
"ENSG00000102243.13","VGLL1",51442,2.05624088560558,0.0143673724981561,0.0401756885666189
"ENSG00000102265.12","TIMP1",7076,-0.676242905938438,0.00090610766919381,0.00469839642137726
"ENSG00000102271.14","KLHL4",56062,0.838807013481713,0.215805281448395,0.330834109547869
"ENSG00000102287.19","GABRE",2564,1.26460110913794,0.000290110976324878,0.00200284948454172
"ENSG00000102302.8","FGD1",2245,-0.00606733766464235,0.971759253848155,0.98227214441725
"ENSG00000102309.13","PIN4",5303,0.0818157891649704,0.561289443415329,0.675318197715714
"ENSG00000102312.21","PORCN",64840,0.0723301513335689,0.475816963807107,0.599292401335032
"ENSG00000102316.17","MAGED2",10916,0.992422601967387,1.41861305096416e-05,0.000214665132595637
"ENSG00000102317.18","RBM3",5935,-0.347305265221703,0.00632596095439609,0.0211476639975927
"ENSG00000102349.18","KLF8",11279,2.07751176757446,0.00273719993443552,0.0110492122808423
"ENSG00000102359.7","SRPX2",27286,-0.81495022497624,0.0264959749540657,0.0650552680911014
"ENSG00000102362.15","SYTL4",94121,-0.0381022486269137,0.884070648460073,0.925505566502449
"ENSG00000102384.13","CENPI",2491,-0.0644215472992247,0.824756100778486,0.88301093231743
"ENSG00000102385.12","DRP2",1821,0.111153284840219,0.846376713320806,0.899163835408132
"ENSG00000102390.10","PBDC1",51260,-0.268171712774594,0.0229818803928158,0.0581403660692243
"ENSG00000102393.10","GLA",2717,-0.468286781222142,0.000820589056183478,0.00436647886485228
"ENSG00000102401.20","ARMCX3",51566,1.01320410197694,5.94286663409131e-06,0.000119312566198365
"ENSG00000102452.17","NALCN",259232,-0.621465855912373,0.32269099314833,0.446838680714043
"ENSG00000102471.14","NDFIP2",54602,-0.195790311402073,0.130777573795658,0.225524431901472
"ENSG00000102531.16","FNDC3A",22862,0.422043231267908,0.000111706331196327,0.000959051080521174
"ENSG00000102543.14","CDADC1",81602,0.390061423701958,0.0896572808178104,0.168611833397095
"ENSG00000102547.19","CAB39L",81617,1.06244603143075,0.000398893187389478,0.00253641168778974
"ENSG00000102554.14","KLF5",688,0.632072220295137,0.0228252136826513,0.0578455441693773
"ENSG00000102572.14","STK24",8428,-0.0815089055127464,0.547986784149052,0.663633495212013
"ENSG00000102575.11","ACP5",54,1.00113253650381,0.04254024575876,0.0937641655370834
"ENSG00000102580.15","DNAJC3",5611,0.0843895609422484,0.59824918633028,0.70738758272094
"ENSG00000102595.20","UGGT2",55757,-0.332121376807245,0.00921988394987554,0.0284531421831419
"ENSG00000102606.18","ARHGEF7",8874,0.0290167764199751,0.674468046095994,0.770889381896111
"ENSG00000102678.6","FGF9",2254,0.401128216057315,0.393546364821906,0.520551555231031
"ENSG00000102699.6","PARP4",143,0.0860465133538444,0.631012446566462,0.733788675157756
"ENSG00000102710.20","SUPT20H",55578,-0.132548953673331,0.270462849688542,0.391586600105646
"ENSG00000102738.7","MRPS31",10240,-0.042198832577184,0.726848438976307,0.808480301818623
"ENSG00000102743.15","SLC25A15",10166,-1.1224206226208,9.37121340083491e-10,8.4428775733147e-07
"ENSG00000102753.10","KPNA3",3839,-0.668358061439689,1.29483255536375e-05,0.000203500589889594
"ENSG00000102760.13","RGCC",28984,0.756300857762744,0.148461710434761,0.248335081818046
"ENSG00000102763.18","VWA8",23078,0.101149695422928,0.22580916032026,0.342347396509944
"ENSG00000102780.16","DGKH",160851,-0.30159966960366,0.156133836398724,0.258074676262769
"ENSG00000102781.14","KATNAL1",84056,0.212293718548621,0.413474190695655,0.539932416524719
"ENSG00000102786.15","INTS6",26512,-0.165963492313271,0.0601650777346623,0.123158136260318
"ENSG00000102796.11","DHRS12",79758,0.749290226307897,0.00665405807078486,0.0219844710268998
"ENSG00000102804.15","TSC22D1",8848,-0.197925583960926,0.119894328198705,0.210659837905307
"ENSG00000102805.15","CLN5",1203,0.212913409560072,0.0566231766939504,0.117442171517021
"ENSG00000102854.16","MSLN",10232,1.08170607895876,0.0576758977359958,0.11923104343387
"ENSG00000102858.13","MGRN1",23295,0.0279243258871549,0.75311198949724,0.829280370376802
"ENSG00000102870.6","ZNF629",23361,-0.216110783797563,0.171805334297873,0.277611690831055
"ENSG00000102871.16","TRADD",8717,0.891270123859219,0.000102935157968322,0.000909197489040052
"ENSG00000102878.16","HSF4",3299,0.991717737676705,0.0395782763520835,0.088480281267879
"ENSG00000102879.15","CORO1A",11151,-0.248888539672064,0.150271895857148,0.250743069658616
"ENSG00000102882.12","MAPK3",5595,0.558710606114797,0.000726374842872341,0.00400336332657382
"ENSG00000102886.15","GDPD3",79153,1.04229394567867,0.0248211740169402,0.061891925869952
"ENSG00000102890.15","ELMO3",79767,0.257250720592475,0.495926835588086,0.618367515397777
"ENSG00000102891.3","MT4",84560,-1.51854423131863,0.114179035567907,0.202747169518931
"ENSG00000102893.16","PHKB",5257,0.286816827208544,0.00935542223646064,0.028815899901406
"ENSG00000102897.10","LYRM1",57149,-0.279310682061322,0.0393078011005215,0.0880394581827249
"ENSG00000102898.12","NUTF2",10204,-0.38375054583286,0.000672537496990479,0.0037766373272761
"ENSG00000102900.13","NUP93",9688,-0.650167890788306,0.000235324547281933,0.00170120529040575
"ENSG00000102901.13","CENPT",80152,0.090189368344675,0.5658110530925,0.678775493535985
"ENSG00000102904.14","TSNAXIP1",55815,1.03381142008739,0.0720554973555756,0.141543984600271
"ENSG00000102908.21","NFAT5",10725,0.0579165113960356,0.677846793185023,0.773524503147728
"ENSG00000102910.13","LONP2",83752,0.0419584271812656,0.546594193126787,0.662447897588922
"ENSG00000102921.8","N4BP1",9683,0.217892714152053,0.01445154832907,0.0403562706632204
"ENSG00000102924.12","CBLN1",869,1.48977785059522,0.0703745846542172,0.138931020463477
"ENSG00000102931.8","ARL2BP",23568,0.037287825009016,0.743041174315287,0.821265030497996
"ENSG00000102934.10","PLLP",51090,-0.988185460111112,0.00128677093819167,0.00613589251539298
"ENSG00000102962.5","CCL22",6367,0.140570991665997,0.858783667485346,0.908177431355093
"ENSG00000102967.12","DHODH",1723,-1.05178749811654,1.57460384737444e-07,1.19098885029941e-05
"ENSG00000102974.16","CTCF",10664,-0.213751764591396,0.0693961423334983,0.137320241364385
"ENSG00000102977.15","ACD",65057,-0.72251103382928,0.000117320575664234,0.000997512329126037
"ENSG00000102978.13","POLR2C",5432,-0.442447202872174,0.000146798981489448,0.00117750231957891
"ENSG00000102981.9","PARD6A",50855,0.263946682344112,0.177092563997678,0.284338305861721
"ENSG00000102984.15","ZNF821",55565,0.958558067149706,0.000207476527761912,0.00154402382430974
"ENSG00000102996.5","MMP15",4324,0.160080863621204,0.277053636225704,0.398814476352459
"ENSG00000103005.11","USB1",79650,-0.716267220892982,8.6392314124385e-05,0.000798298210322442
"ENSG00000103018.16","CYB5B",80777,-0.383182115622224,0.0104276699697587,0.031263490560331
"ENSG00000103021.9","CCDC113",29070,0.147572977240461,0.330948133890588,0.455941227461778
"ENSG00000103024.7","NME3",4832,0.505500560568403,0.0722267898310638,0.141792539944207
"ENSG00000103034.14","NDRG4",65009,1.40622013027699,1.14514758524779e-05,0.000186810028583589
"ENSG00000103035.11","PSMD7",5713,-0.312945533107102,0.0170714832931813,0.0458772243980628
"ENSG00000103037.11","SETD6",79918,-0.490899767489966,0.000570509313755697,0.0033295108331127
"ENSG00000103042.9","SLC38A7",55238,0.182114935926638,0.324534440117983,0.448645914824805
"ENSG00000103043.15","VAC14",55697,-0.118182021420628,0.165673013989538,0.270033525176299
"ENSG00000103044.11","HAS3",3038,-0.877840475929917,0.00245275348533926,0.0101598969802199
"ENSG00000103047.8","TANGO6",79613,-0.707429042706913,5.31102480503263e-06,0.00010957428756565
"ENSG00000103051.19","COG4",25839,0.134924699231753,0.149209011461771,0.249286961082688
"ENSG00000103056.12","SMPD3",55512,0.598027799595125,0.0370880768994003,0.0843256511837312
"ENSG00000103061.13","SLC7A6OS",84138,-0.260139052994624,0.054062241647608,0.113353776487312
"ENSG00000103064.15","SLC7A6",9057,-0.670485083073823,2.93835313988074e-06,7.14272521271179e-05
"ENSG00000103066.13","PLA2G15",23659,0.117317612891554,0.299557398372888,0.422204237214521
"ENSG00000103067.13","ESRP2",80004,0.681052876862032,0.17482863426691,0.281550079651157
"ENSG00000103089.9","FA2H",79152,0.965162901923284,0.0297219158846582,0.0709223428935223
"ENSG00000103091.15","WDR59",79726,0.415277090311381,0.00742317551556719,0.0240731327462095
"ENSG00000103111.14","MON1B",22879,0.638671933375922,7.27429399004135e-06,0.000136180451774605
"ENSG00000103121.8","CMC2",56942,-0.73884551642185,0.000330140066498439,0.00219915390876849
"ENSG00000103126.15","AXIN1",8312,-0.330460817681086,0.00589040289494817,0.0201113590077399
"ENSG00000103145.10","HCFC1R1",54985,0.764892600194536,0.000286076528024863,0.00198068835325572
"ENSG00000103148.15","NPRL3",8131,-0.364633525604566,0.000392468221830754,0.00250299657790934
"ENSG00000103150.6","MLYCD",23417,0.790293326772827,3.13285503294879e-05,0.000368653920815974
"ENSG00000103152.11","MPG",4350,0.139553969661827,0.0956031598531558,0.176886092835739
"ENSG00000103154.9","NECAB2",54550,-0.624878311585467,0.30365011811968,0.426370198002649
"ENSG00000103160.12","HSDL1",83693,0.254253210613758,0.11517134176649,0.20403034184146
"ENSG00000103168.16","TAF1C",9013,0.125800162911246,0.61459936875148,0.719929294697919
"ENSG00000103174.13","NAGPA",51172,0.277340175966074,0.0277573654449577,0.067315347054015
"ENSG00000103184.12","SEC14L5",9717,1.64250653471365,0.0299590417797677,0.071440791936369
"ENSG00000103187.8","COTL1",23406,-0.766077819198166,3.24849652075914e-06,7.68917526219097e-05
"ENSG00000103194.15","USP10",9100,-0.652480236411385,3.54975794445348e-06,8.20028217456681e-05
"ENSG00000103196.12","CRISPLD2",83716,-0.493673025172802,0.0747942448074795,0.145657800445801
"ENSG00000103197.18","TSC2",7249,0.407337043539382,0.00233548784896101,0.0097951868905362
"ENSG00000103199.13","ZNF500",26048,0.116037251019088,0.332641189964236,0.457758735401858
"ENSG00000103202.13","NME4",4833,-0.242137885255399,0.0568831146779261,0.117896491456837
"ENSG00000103222.19","ABCC1",4363,0.136529221213077,0.440438535354545,0.566412836750448
"ENSG00000103226.18","NOMO3",408050,-0.293092802015071,0.39195400572666,0.5191598817008
"ENSG00000103227.18","LMF1",64788,0.418981890507437,0.158233828336649,0.260738527145953
"ENSG00000103241.7","FOXF1",2294,0.145670985043695,0.754912219699086,0.83056250507683
"ENSG00000103245.14","CIAO3",64428,0.14148939766539,0.132653617354768,0.227832943425351
"ENSG00000103248.18","MTHFSD",64779,0.283798218907977,0.0115323886137331,0.0339194821193558
"ENSG00000103249.18","CLCN7",1186,0.348674810997952,0.00186558883514978,0.00823161565183181
"ENSG00000103253.18","HAGHL",84264,0.0894313478007977,0.678951424072857,0.774294681804607
"ENSG00000103254.10","ANTKMT",65990,-0.107129492929551,0.565221695817751,0.678196527125033
"ENSG00000103257.9","SLC7A5",8140,-1.08411934615521,0.000650283931335543,0.00367601681184386
"ENSG00000103260.9","METRN",79006,0.0743666385024561,0.552307054332709,0.66723987497536
"ENSG00000103264.18","FBXO31",79791,-0.238762563486171,0.0124812711287204,0.0360318968711373
"ENSG00000103266.11","STUB1",10273,-0.20707727877228,0.0201967287845208,0.0524285693190828
"ENSG00000103269.13","RHBDL1",9028,0.982096211423686,0.0125352351884839,0.0361318566770638
"ENSG00000103274.11","NUBP1",4682,-0.217895151921946,0.0874813844593849,0.165274463562521
"ENSG00000103275.20","UBE2I",7329,-0.354043829543606,0.00379186448613311,0.0142565796994285
"ENSG00000103319.12","EEF2K",29904,-0.139549655206781,0.107931439565227,0.19411499704713
"ENSG00000103326.12","CAPN15",6650,-0.666925986360645,2.05235732614682e-06,5.55060616442897e-05
"ENSG00000103335.22","PIEZO1",9780,-0.0194597859481338,0.843409925706065,0.897052614111483
"ENSG00000103342.13","GSPT1",2935,-0.693708562320509,1.40499866334457e-05,0.000213130908561739
"ENSG00000103343.13","ZNF174",7727,0.00327994392180277,0.973663486685591,0.983625983640955
"ENSG00000103351.13","CLUAP1",23059,0.500108381078508,0.000360971434881264,0.00234916624551396
"ENSG00000103353.16","UBFD1",56061,0.146111400193383,0.178833036902903,0.286335468949833
"ENSG00000103356.15","EARS2",124454,-0.51244258846314,0.000224490331569722,0.00163601017673283
"ENSG00000103363.14","ELOB",6923,-0.107542267332871,0.331688763175462,0.456796935241644
"ENSG00000103365.15","GGA2",23062,-0.0503431808347157,0.531935651793609,0.650258855207333
"ENSG00000103381.12","CPPED1",55313,0.191522830340145,0.152678832876157,0.25373130918951
"ENSG00000103404.14","USP31",57478,-0.845075201207802,3.78728928962715e-07,1.97089440830236e-05
"ENSG00000103415.12","HMOX2",3163,-0.697745145672467,0.000105326109180642,0.000922403319464738
"ENSG00000103423.14","DNAJA3",9093,-0.682292233988846,8.78801881623226e-06,0.000155625664909076
"ENSG00000103429.11","BFAR",51283,-0.274776551840253,0.0238072932628012,0.0598947644928731
"ENSG00000103460.17","TOX3",27324,0.96842320288608,0.162928878936662,0.266494926798137
"ENSG00000103479.16","RBL2",5934,0.499437851980332,0.000110093039312632,0.000949157393356212
"ENSG00000103485.18","QPRT",23475,1.48993350409182,0.0281485673193858,0.0681265275199709
"ENSG00000103489.11","XYLT1",64131,0.0453526663094265,0.922889526529591,0.950382377834266
